name,schedule,alternate_url,published_at,salary_from,salary_to,salary_currency,city,company,exp_level,requirement,responsibility
Стажёр в Data Hub (рекламное агентство),"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131759493,2026-04-01T23:21:02+0300,,,,Москва,i.com,Нет опыта,,"...<highlighttext>Python</highlighttext>, API нейросетей для анализа рекламных материалов. Создавать дашборды на основе разнообразных наборов данных в Power BI и на <highlighttext>Python</highlighttext>. "
Junior business development manager / Младший менеджер по развитию бизнеса (B2B),"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131998238,2026-04-12T16:32:35+0300,,,,Москва,НТ Прогресс,Нет опыта,"Интерес к финансовым рынкам, торгам на бирже, понимание что из себя представляет валютный рынок. Готовность работать Full-time. Знание <highlighttext>Python</highlighttext>...","Взаимодействовать с новыми и действующими клиентами и партнерами, как в России так и за рубежом. Участвовать в развитии нашего продукта..."
DevSeсOps-инженер,"{'id': 'remote', 'name': 'Удаленная работа'}",https://hh.ru/vacancy/131656438,2026-03-30T11:12:47+0300,,,,Москва,Бифорком Тек,Нет опыта,"Программирование/скриптинг на <highlighttext>Python</highlighttext>, Go или Bash для автоматизации и создания инструментов. Опыт работы с моделями безопасности zero-trust («нулевого...","Защита конвейеров CI/CD. Проектирование и поддержка безопасных рабочих процессов CI/CD в Jenkins, GitLab CI или аналогичных платформах (например..."
Начинающий IT-специалист / Тестировщик,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131377670,2026-03-19T11:58:00+0300,50000.0,,RUR,Москва,Межрегиональное Управление Федерального Казначейства по Централизованной Обработке Данных,Нет опыта,Навыки программирования на Java и/или <highlighttext>Python</highlighttext> на уровне написания базовых скриптов и приложений. Навыки управления проектами в области IT.,Межрегиональное управление Федерального казначейства по централизованной обработке данных обеспечивает развитие и эксплуатацию Государственных информационных систем. Выполнение профессиональных задач и поддержка...
Стажер (Insights and Analytics),"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/130936547,2026-03-29T12:55:28+0300,,,,Москва,Sanofi,Нет опыта,"Высокий уровень внимательности при работе с цифрами, большими объёмами данных. Другие BI-системы, <highlighttext>Python</highlighttext> - как преимущество. Готовность уделять работе от...",Выполнение мэппинга данных по направлениям «Диабет» и «Вакцины» в различных информационных системах для подготовки отчетов DCV 360 и Vaccines 360...
Junior Разработчик ML (Python),"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131435286,2026-03-21T20:49:38+0300,,,,Москва,IBS,Нет опыта,Знание основ статистики. Знание теории <highlighttext>Python</highlighttext>. Знания основ ML. Пример 1 проекта ( студенческий проект). Желание учиться и работать в живом...,Обучение предметной области и техническим навыкам. Подключение в работу на реальном проекте. Взаимодействие с командой аналитики и тестирования.
Стажер Data Scientist,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131679180,2026-03-30T18:25:06+0300,,,,Москва,АО «ОТП Банк» (JSC «OTP Bank»),Нет опыта,"Обладаешь уверенным SQL, <highlighttext>Python</highlighttext> (Pandas/NumPy, ML-библиотеки). Обладаешь аналитическим мышлением, пониманием математики и ML-алгоритмов. Готов работать в гибридном...","1. Отдел оптимизации процессов взыскания задолженностей. Ты будешь работать с аналитикой поведения клиентов, которые имеют риск что перестанут платить по..."
NLP инженер,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131808079,2026-04-03T09:57:56+0300,,,,Москва,T2,Нет опыта,"Практический опыт построения продуктов с LLM (RAG, агенты, prompt-инжиниринг). Уверенное владение <highlighttext>Python</highlighttext> и ML-стеком. Опыт проектирования агентных систем...",Проектировать и реализовывать продукты на основе LLM. Формировать и развивать подходы разработки (Агентная разработка/ai review). Выбирать и интегрировать модели...
Junior AI разработчик,"{'id': 'remote', 'name': 'Удаленная работа'}",https://hh.ru/vacancy/131516497,2026-04-11T16:42:46+0300,,,,Москва,"585, Холдинг",Нет опыта,"Опыт написания чистого кода на <highlighttext>Python</highlighttext> (обязательно), а также понимание принципов работы одного из языков: Java или Node.js. - ",Проекты: - Разработка системы распознавания типов ювелирных изделий и считывания веса с цифровых табло весов в режиме реального времени. - 
Технический писатель,"{'id': 'remote', 'name': 'Удаленная работа'}",https://hh.ru/vacancy/131218146,2026-04-09T19:49:41+0300,60000.0,,RUR,Москва,amoCRM,Нет опыта,"Знает языки программирования на базовом уровне (<highlighttext>Python</highlighttext>, JavaScript). Способен быстро обучаться. Проактивен и готов работать в сжатые сроки. ",Создание и обновление статей для внутренней базы знаний. Чтение и анализ тикетов разработки для сбора технической информации. Взаимодействие с разработчиками...
